id,name,partOf,locationType
XAVydk8BnoQ,Chitipa District Hospital,Location/MWD1,HEALTH_FACILITY
Y5Vm6IxjSIV,Chitipa Health Centre,Location/MWD1,HEALTH_FACILITY
HK3irhKf9Fp,Chitipa Community Health Post,Location/MWD1,HEALTH_FACILITY
FInCHzQeFF3,Karonga District Hospital,Location/MWD2,HEALTH_FACILITY
AgSHPNV4Wvd,Karonga Health Centre,Location/MWD2,HEALTH_FACILITY
EWyz6NsIlh3,Karonga Community Health Post,Location/MWD2,HEALTH_FACILITY
wdBmJOV338N,Nkhatabay District Hospital,Location/MWD3,HEALTH_FACILITY
cXK2TYn8NIB,Nkhatabay Health Centre,Location/MWD3,HEALTH_FACILITY
H7BfVg6SiP9,Nkhatabay Community Health Post,Location/MWD3,HEALTH_FACILITY
la9TD1kVVor,Rumphi District Hospital,Location/MWD4,HEALTH_FACILITY
QLZHzzi22gT,Rumphi Health Centre,Location/MWD4,HEALTH_FACILITY
xpzOyQ7phPY,Rumphi Community Health Post,Location/MWD4,HEALTH_FACILITY
vjzLvOAKNBa,Mzimba District Hospital,Location/MWD5,HEALTH_FACILITY
FVQSZRJb1dp,Mzimba Health Centre,Location/MWD5,HEALTH_FACILITY
GapAPMk6EYz,Mzimba Community Health Post,Location/MWD5,HEALTH_FACILITY
gV27GXPrKZD,Likoma District Hospital,Location/MWD6,HEALTH_FACILITY
xTHTkOd2cGV,Likoma Health Centre,Location/MWD6,HEALTH_FACILITY
E4AXvgqXYP0,Likoma Community Health Post,Location/MWD6,HEALTH_FACILITY
zNygnKnX3Sz,Mzuzu City District Hospital,Location/MWD7,HEALTH_FACILITY
cugoLHP00Xx,Mzuzu City Health Centre,Location/MWD7,HEALTH_FACILITY
hbVKslqzG49,Mzuzu City Community Health Post,Location/MWD7,HEALTH_FACILITY
HFJ4HLQugCl,Kasungu District Hospital,Location/MWD8,HEALTH_FACILITY
izKfyPe9vAV,Kasungu Health Centre,Location/MWD8,HEALTH_FACILITY
FSDhtOZvwyr,Kasungu Community Health Post,Location/MWD8,HEALTH_FACILITY
Zb0uXGBwYYw,Nkhotakota District Hospital,Location/MWD9,HEALTH_FACILITY
ndm6NpTDwUS,Nkhotakota Health Centre,Location/MWD9,HEALTH_FACILITY
b7qRnYCHWUg,Nkhotakota Community Health Post,Location/MWD9,HEALTH_FACILITY
bhf588n3XzN,Ntchisi District Hospital,Location/MWD10,HEALTH_FACILITY
DK14WmvxmbP,Ntchisi Health Centre,Location/MWD10,HEALTH_FACILITY
MtMkH6FB9Vv,Ntchisi Community Health Post,Location/MWD10,HEALTH_FACILITY
dALOl66F1UB,Dowa District Hospital,Location/MWD11,HEALTH_FACILITY
SJcc9t13N5C,Dowa Health Centre,Location/MWD11,HEALTH_FACILITY
yOAjnrn3btz,Dowa Community Health Post,Location/MWD11,HEALTH_FACILITY
Pmq3eeRoxxX,Salima District Hospital,Location/MWD12,HEALTH_FACILITY
cNfxox9lujr,Salima Health Centre,Location/MWD12,HEALTH_FACILITY
