admin2Name_en,admin2Name_alias,admin2Pcode,admin1Name_en,admin1Name_alias,admin1Pcode,admin0Name_en,admin0Name_alias,admin0Pcode
Chitipa,Chitipa,MWD1,Northern,Northern,MWR1,Malawi,Malawi,MW
Karonga,Karonga,MWD2,Northern,Northern,MWR1,Malawi,Malawi,MW
Nkhatabay,Nkhatabay,MWD3,Northern,Northern,MWR1,Malawi,Malawi,MW
Rumphi,Rumphi,MWD4,Northern,Northern,MWR1,Malawi,Malawi,MW
Mzimba,Mzimba,MWD5,Northern,Northern,MWR1,Malawi,Malawi,MW
Likoma,Likoma,MWD6,Northern,Northern,MWR1,Malawi,Malawi,MW
Mzuzu City,Mzuzu City,MWD7,Northern,Northern,MWR1,Malawi,Malawi,MW
Kasungu,Kasungu,MWD8,Central,Central,MWR2,Malawi,Malawi,MW
Nkhotakota,Nkhotakota,MWD9,Central,Central,MWR2,Malawi,Malawi,MW
Ntchisi,Ntchisi,MWD10,Central,Central,MWR2,Malawi,Malawi,MW
Dowa,Dowa,MWD11,Central,Central,MWR2,Malawi,Malawi,MW
Salima,Salima,MWD12,Central,Central,MWR2,Malawi,Malawi,MW
Lilongwe,Lilongwe,MWD13,Central,Central,MWR2,Malawi,Malawi,MW
Mchinji,Mchinji,MWD14,Central,Central,MWR2,Malawi,Malawi,MW
Dedza,Dedza,MWD15,Central,Central,MWR2,Malawi,Malawi,MW
Ntcheu,Ntcheu,MWD16,Central,Central,MWR2,Malawi,Malawi,MW
Lilongwe City,Lilongwe City,MWD17,Central,Central,MWR2,Malawi,Malawi,MW
Mangochi,Mangochi,MWD18,Southern,Southern,MWR3,Malawi,Malawi,MW
Machinga,Machinga,MWD19,Southern,Southern,MWR3,Malawi,Malawi,MW
Zomba,Zomba,MWD20,Southern,Southern,MWR3,Malawi,Malawi,MW
Chiradzulu,Chiradzulu,MWD21,Southern,Southern,MWR3,Malawi,Malawi,MW
Blantyre,Blantyre,MWD22,Southern,Southern,MWR3,Malawi,Malawi,MW
Mwanza,Mwanza,MWD23,Southern,Southern,MWR3,Malawi,Malawi,MW
Thyolo,Thyolo,MWD24,Southern,Southern,MWR3,Malawi,Malawi,MW
Mulanje,Mulanje,MWD25,Southern,Southern,MWR3,Malawi,Malawi,MW
Phalombe,Phalombe,MWD26,Southern,Southern,MWR3,Malawi,Malawi,MW
Chikwawa,Chikwawa,MWD27,Southern,Southern,MWR3,Malawi,Malawi,MW
Nsanje,Nsanje,MWD28,Southern,Southern,MWR3,Malawi,Malawi,MW
Balaka,Balaka,MWD29,Southern,Southern,MWR3,Malawi,Malawi,MW
Neno,Neno,MWD30,Southern,Southern,MWR3,Malawi,Malawi,MW
Zomba City,Zomba City,MWD31,Southern,Southern,MWR3,Malawi,Malawi,MW
Blantyre City,Blantyre City,MWD32,Southern,Southern,MWR3,Malawi,Malawi,MW
