adminPcode,name,male_population_2007,female_population_2007,population_2007,crude_birth_rate_2007,male_population_2008,female_population_2008,population_2008,crude_birth_rate_2008,male_population_2009,female_population_2009,population_2009,crude_birth_rate_2009,male_population_2010,female_population_2010,population_2010,crude_birth_rate_2010,male_population_2011,female_population_2011,population_2011,crude_birth_rate_2011,male_population_2012,female_population_2012,population_2012,crude_birth_rate_2012,male_population_2013,female_population_2013,population_2013,crude_birth_rate_2013,male_population_2014,female_population_2014,population_2014,crude_birth_rate_2014,male_population_2015,female_population_2015,population_2015,crude_birth_rate_2015,male_population_2016,female_population_2016,population_2016,crude_birth_rate_2016,male_population_2017,female_population_2017,population_2017,crude_birth_rate_2017,male_population_2018,female_population_2018,population_2018,crude_birth_rate_2018,male_population_2019,female_population_2019,population_2019,crude_birth_rate_2019,male_population_2020,female_population_2020,population_2020,crude_birth_rate_2020,male_population_2021,female_population_2021,population_2021,crude_birth_rate_2021,male_population_2022,female_population_2022,population_2022,crude_birth_rate_2022,male_population_2023,female_population_2023,population_2023,crude_birth_rate_2023,male_population_2024,female_population_2024,population_2024,crude_birth_rate_2024,male_population_2025,female_population_2025,population_2025,crude_birth_rate_2025
ZMB-P01,Central Province,558803,558803,1117606,42.0,582791,582791,1165582,41.4,607809,607809,1215618,40.9,633901,633902,1267803,40.3,661113,661114,1322227,39.8,689493,689494,1378987,39.2,719092,719092,1438184,38.7,749961,749962,1499923,38.1,782156,782156,1564312,37.6,815732,815732,1631464,37.0,850750,850750,1701500,36.4,887271,887271,1774542,35.9,925359,925360,1850719,35.3,965083,965084,1930167,34.8,1006512,1006513,2013025,34.2,1049720,1049721,2099441,33.7,1094782,1094783,2189565,33.1,1141779,1141780,2283559,32.6,1190794,1190794,2381588,32.0
ZMB-P02,Copperbelt Province,928029,928029,1856058,42.0,944817,944818,1889635,41.4,961910,961910,1923820,40.9,979311,979312,1958623,40.3,997027,997028,1994055,39.8,1015064,1015065,2030129,39.2,1033427,1033428,2066855,38.7,1052122,1052123,2104245,38.1,1071156,1071156,2142312,37.6,1090534,1090534,2181068,37.0,1110262,1110262,2220524,36.4,1130347,1130348,2260695,35.9,1150796,1150796,2301592,35.3,1171614,1171615,2343229,34.8,1192809,1192810,2385619,34.2,1214388,1214389,2428777,33.7,1236357,1236357,2472714,33.1,1258723,1258724,2517447,32.6,1281494,1281495,2562989,32.0
ZMB-P03,Eastern Province,743478,743478,1486956,42.0,760693,760694,1521387,41.4,778308,778308,1556616,40.9,796330,796331,1592661,40.3,814770,814770,1629540,39.8,833636,833637,1667273,39.2,852940,852940,1705880,38.7,872690,872691,1745381,38.1,892898,892898,1785796,37.6,913574,913574,1827148,37.0,934728,934729,1869457,36.4,956372,956373,1912745,35.9,978518,978518,1957036,35.3,1001176,1001177,2002353,34.8,1024359,1024360,2048719,34.2,1048079,1048080,2096159,33.7,1072348,1072349,2144697,33.1,1097179,1097180,2194359,32.6,1122585,1122586,2245171,32.0
ZMB-P04,Luapula Province,479317,479317,958634,42.0,484802,484803,969605,41.4,490351,490351,980702,40.9,495963,495964,991927,40.3,501639,501640,1003279,39.8,507381,507381,1014762,39.2,513188,513188,1026376,38.7,519061,519061,1038122,38.1,525002,525002,1050004,37.6,531010,531011,1062021,37.0,537088,537088,1074176,36.4,543235,543235,1086470,35.9,549452,549452,1098904,35.3,555740,555741,1111481,34.8,562101,562101,1124202,34.2,568534,568535,1137069,33.7,575041,575041,1150082,33.1,581622,581623,1163245,32.6,588279,588279,1176558,32.0
ZMB-P05,Lusaka Province,951799,951799,1903598,42.0,997506,997507,1995013,41.4,1045409,1045410,2090819,40.9,1095612,1095613,2191225,40.3,1148226,1148226,2296452,39.8,1203366,1203367,2406733,39.2,1261155,1261155,2522310,38.7,1321718,1321719,2643437,38.1,1385190,1385191,2770381,37.6,1451710,1451711,2903421,37.0,1521425,1521425,3042850,36.4,1594487,1594487,3188974,35.9,1671058,1671058,3342116,35.3,1751306,1751306,3502612,34.8,1835408,1835408,3670816,34.2,1923548,1923549,3847097,33.7,2015921,2015922,4031843,33.1,2112730,2112731,4225461,32.6,2214188,2214189,4428377,32.0
ZMB-P06,Muchinga Province,327065,327065,654130,42.0,336385,336385,672770,41.4,345970,345970,691940,40.9,355828,355829,711657,40.3,365967,365968,731935,39.8,376395,376396,752791,39.2,387121,387121,774242,38.7,398151,398152,796303,38.1,409497,409497,818994,37.6,421165,421166,842331,37.0,433166,433167,866333,36.4,445509,445510,891019,35.9,458204,458204,916408,35.3,471260,471261,942521,34.8,484688,484689,969377,34.2,498499,498500,996999,33.7,512704,512705,1025409,33.1,527313,527314,1054627,32.6,542339,542340,1084679,32.0
ZMB-P07,Northern Province,506365,506366,1012731,42.0,521428,521429,1042857,41.4,536939,536940,1073879,40.9,552912,552912,1105824,40.3,569359,569359,1138718,39.8,586296,586296,1172592,39.2,603736,603737,1207473,38.7,621696,621696,1243392,38.1,640189,640190,1280379,37.6,659233,659234,1318467,37.0,678843,678844,1357687,36.4,699037,699037,1398074,35.9,719831,719832,1439663,35.3,741244,741244,1482488,34.8,763294,763294,1526588,34.2,785999,786000,1571999,33.7,809381,809381,1618762,33.1,833457,833458,1666915,32.6,858250,858251,1716501,32.0
ZMB-P08,North-Western Province,345116,345116,690232,42.0,351145,351145,702290,41.4,357280,357280,714560,40.9,363522,363522,727044,40.3,369872,369873,739745,39.8,376334,376335,752669,39.2,382909,382910,765819,38.7,389599,389599,779198,38.1,396405,396406,792811,37.6,403331,403331,806662,37.0,410377,410378,820755,36.4,417547,417547,835094,35.9,424842,424842,849684,35.3,432264,432264,864528,34.8,439816,439816,879632,34.2,447500,447500,895000,33.7,455318,455318,910636,33.1,463272,463273,926545,32.6,471366,471366,942732,32.0
ZMB-P09,Southern Province,753007,753008,1506015,42.0,766740,766741,1533481,41.4,780724,780724,1561448,40.9,794963,794963,1589926,40.3,809461,809461,1618922,39.8,824224,824224,1648448,39.2,839256,839256,1678512,38.7,854562,854562,1709124,38.1,870147,870147,1740294,37.6,886016,886017,1772033,37.0,902175,902176,1804351,36.4,918629,918629,1837258,35.9,935383,935383,1870766,35.3,952442,952442,1904884,34.8,969812,969813,1939625,34.2,987500,987500,1975000,33.7,1005509,1005510,2011019,33.1,1023847,1023848,2047695,32.6,1042520,1042521,2085041,32.0
ZMB-P10,Western Province,434984,434984,869968,42.0,440417,440417,880834,41.4,445917,445918,891835,40.9,451487,451487,902974,40.3,457125,457126,914251,39.8,462835,462835,925670,39.2,468615,468616,937231,38.7,474468,474468,948936,38.1,480394,480394,960788,37.6,486394,486394,972788,37.0,492468,492469,984937,36.4,498619,498620,997239,35.9,504846,504847,1009693,35.3,511152,511152,1022304,34.8,517536,517536,1035072,34.2,524000,524000,1048000,33.7,530544,530544,1061088,33.1,537170,537171,1074341,32.6,543879,543880,1087759,32.0
